person_ID,name,first,last,middle,email,phone,fax,title
2070,"Mosley, Edmund ",Edmund,Mosley,null,MosleyE@univ.edu,963.555.2945,963.777.9285,Assistant Professor
2561,"Derek, Antoine Mccoy",Antoine,Derek,Mccoy,DerekA@univ.edu,963.555.2992,963.777.5454,Curator
1625,"Hawkins, Callie ",Callie,Hawkins,null,HawkinsC@univ.edu,963.555.3350x6480,963.777.4949,Professor
1307,"Pate, Andrea ",Andrea,Pate,null,PateA@univ.edu,963.555.3723,963.777.5049,Professor
2342,"Austin, Liz ",Liz,Austin,null,AustinL@univ.edu,963.555.4305,963.777.6143,Assistant Professor
2755,"Kendrick, Reba Alford",Reba,Kendrick,Alford,KendrickR@univ.edu,963.555.4618x7744,963.777.4371,Associate Curator 
4150,"Sims, Angelina ",Angelina,Sims,null,SimsA@univ.edu,963.555.5278,963.777.4400,Professor
3544,"Mullins, Kimberly ",Kimberly,Mullins,null,MullinsK@univ.edu,963.555.5471x1017,963.777.9783,Assistant Professor
2096,"Chuck, Lloyd Haney",Lloyd,Chuck,Haney,ChuckL@univ.edu,963.555.5568x2652,963.777.9290,Assistant Professor
1089,"Payne, Ladonna ",Ladonna,Payne,null,PayneL@univ.edu,963.555.5639,963.777.6469,Professor
2948,"Baxter, Johnathan Browning",Johnathan,Baxter,Browning,BaxterJ@univ.edu,963.555.5902,963.777.8336,Research Professor
4539,"Weiss, Gilbert ",Gilbert,Weiss,null,WeissG@univ.edu,963.555.5969,963.777.4975,Professor
2811,"Deirdre, Florence Barrera",Florence,Deirdre,Barrera,DeirdreF@univ.edu,963.555.6319,963.777.9654,Associate Curator 
4580,"Fernando, Toby Calderon",Toby,Fernando,Calderon,FernandoT@univ.edu,963.555.6469,963.777.9864,Research Professor
2895,"Garrison, Patrica ",Patrica,Garrison,null,GarrisonP@univ.edu,963.555.6760,963.777.4958,Associate Curator 
2254,"Effie, Leila Vinson",Leila,Effie,Vinson,EffieL@univ.edu,963.555.6824,963.777.7299,Assistant Professor
2389,"Buckley, Rose ",Rose,Buckley,null,BuckleyR@univ.edu,963.555.6855x5018,963.777.5233,Curator
1699,"Stanton, Kathie ",Kathie,Stanton,null,StantonK@univ.edu,963.555.7095,963.777.1015,Professor
